# # comment:                                                     FEFF 9.9.1  
# # Source:
# # Structure
# # Reduced
# # space
# # abc:
# # angles:
# # sites:
# # POT  SCF 100  7.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.212 Rnm= 1.298 K  shell
# # Pot 1 Z=64 Rmt= 1.613 Rnm= 1.702
# # Pot 2 Z=29 Rmt= 1.210 Rnm= 1.298
# # Pot 3 Z= 8 Rmt= 1.058 Rnm= 1.111
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.496E+00eV kf=2.114E+00 Vint=-1.736E+01eV Rs_int= 1.715
# FMS rfms= 9.0000
# # PATH  Rmax=-1.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#     0/   0 paths used
#  xsedge+ 50, used to normalize mu           2.4533E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8994.531     -1.254   1.280  4.91694E-01  8.35435E-01 -3.43741E-01
    8994.927     -0.858   1.320  5.09737E-01  8.46965E-01 -3.37228E-01
    8995.336     -0.449   1.360  5.36052E-01  8.58171E-01 -3.22119E-01
    8995.756     -0.029   1.400  5.78070E-01  8.68991E-01 -2.90921E-01
    8996.189      0.404   1.440  6.38530E-01  8.79440E-01 -2.40910E-01
    8996.634      0.849   1.480  7.17700E-01  8.89496E-01 -1.71796E-01
    8997.091      1.306   1.520  8.16859E-01  8.99137E-01 -8.22779E-02
    8997.561      1.776   1.560  9.34122E-01  9.08379E-01  2.57426E-02
    8998.042      2.257   1.600  1.05847E+00  9.17180E-01  1.41289E-01
    8998.536      2.751   1.640  1.18102E+00  9.25540E-01  2.55479E-01
    8999.042      3.257   1.680  1.30788E+00  9.33479E-01  3.74400E-01
    8999.560      3.775   1.720  1.44615E+00  9.40955E-01  5.05190E-01
    9000.091      4.306   1.760  1.55846E+00  9.48011E-01  6.10447E-01
    9000.633      4.848   1.800  1.58376E+00  9.54607E-01  6.29156E-01
    9001.188      5.403   1.840  1.55021E+00  9.60768E-01  5.89445E-01
    9001.755      5.970   1.880  1.51599E+00  9.66477E-01  5.49510E-01
    9002.334      6.549   1.920  1.48078E+00  9.71778E-01  5.08998E-01
    9002.925      7.140   1.960  1.42437E+00  9.76658E-01  4.47709E-01
    9003.529      7.744   2.000  1.36754E+00  9.81122E-01  3.86421E-01
    9004.144      8.359   2.040  1.33781E+00  9.85197E-01  3.52611E-01
    9004.772      8.987   2.080  1.32061E+00  9.88891E-01  3.31715E-01
    9005.412      9.627   2.120  1.28029E+00  9.92211E-01  2.88076E-01
    9006.065     10.280   2.160  1.21210E+00  9.95185E-01  2.16913E-01
    9006.729     10.944   2.200  1.12910E+00  9.97801E-01  1.31297E-01
    9007.406     11.621   2.240  1.04073E+00  1.00011E+00  4.06211E-02
    9008.095     12.310   2.280  9.56782E-01  1.00212E+00 -4.53365E-02
    9008.796     13.011   2.320  8.92428E-01  1.00384E+00 -1.11407E-01
    9009.509     13.724   2.360  8.61113E-01  1.00527E+00 -1.44159E-01
    9010.234     14.449   2.400  8.69940E-01  1.00648E+00 -1.36536E-01
    9010.972     15.187   2.440  9.17459E-01  1.00742E+00 -8.99561E-02
    9011.722     15.937   2.480  9.91788E-01  1.00816E+00 -1.63730E-02
    9012.484     16.699   2.520  1.06435E+00  1.00868E+00  5.56727E-02
    9013.258     17.473   2.560  1.10174E+00  1.00904E+00  9.26976E-02
    9014.044     18.259   2.600  1.10818E+00  1.00922E+00  9.89637E-02
    9014.843     19.058   2.640  1.10170E+00  1.00923E+00  9.24648E-02
    9015.654     19.869   2.680  1.08936E+00  1.00913E+00  8.02269E-02
    9016.477     20.692   2.720  1.07362E+00  1.00889E+00  6.47360E-02
    9017.312     21.527   2.760  1.05594E+00  1.00854E+00  4.73922E-02
